$(OWNED)	(ЕСТЬ)
$10 Mins	10 мин.
$15 Mins	15 мин.
$30 Mins	30 мин.
$45 Mins	45 мин.
$5 Mins	5 мин.
$60 Mins	60 мин.
$[NEW SAVE]	[НОВОЕ СОХРАНЕНИЕ]
$ABORT	ОТМЕНА
$AbsoluteWeightLimitDisplay	{weight} [МАКС.]
$AbsoluteWeightLimitTransferWarning	Вы несете максимальный груз и больше не можете передавать предметы.
$AbsoluteWeightLimitWarning	Вы несете максимальный груз и не можете брать ничего нового.
$acc	Точность V.A.T.S.
$ACCEPT	ПРИНЯТЬ
$AcceptFriendRequest	Принять запрос о дружбе
$ACCEPTTRADE	ОБМЕНЯТЬ
$ACCESSIBILITY	СПЕЦИАЛЬНЫЕ ВОЗМОЖНОСТИ
$ACCESSIBILITYFIRSTTIME	ПРЕДУСТАНОВКИ СПЕЦИАЛЬНЫХ ВОЗМОЖНОСТЕЙ
$AccessibilityEnterText	Преобразование текста в речь
$ACCESS DENIED	--ДОСТУП ЗАПРЕЩЕН--
$AccessTypeHint_Friends	ВСЕ ДРУЗЬЯ
$AccessTypeHint_Team	ТОЛЬКО КОМАНДА
$ACCOUNT_UPGRADES	ДОПОЛНЕНИЯ FALLOUT 76
$ACCOUNT_UPGRADES_DESC	Не упустите этот набор и многое другое!
$ACCOUNT_UPGRADES_DISCLAIMER_PSN	Эксклюзивные скидки PlayStation Plus могут учитываться в ценах. Окончательные цены будут утверждены в PlayStation Store.
$ACCOUNT_UPGRADES_DISCLAIMER_XBOX	Эксклюзивные скидки Game Pass могут учитываться в ценах. Окончательные цены будут утверждены в Microsoft Store.
$ACCOUNT_UPGRADES_DISCLAIMER_STEAM	Окончательные цены будут утверждены в PlayStation Store
$ACCOUNT_UPGRADES_HINT	ДОПОЛНЕНИЯ
$ACQuestTutorial01	Для выполнения некоторых заданий вам потребуется покинуть Аппалачию.
$ACQuestTutorial02	Используйте значок винтокрыла на карте, чтобы отправиться в нужное место.
$ACQuestTutorialSubHeader	Смело путешествуйте по избранным местам и исследуйте Пустошь по-своему!
$ACQuestTutorialHeader	ПОЕЗДКИ ЗА ПРЕДЕЛЫ АППАЛАЧИИ
$ACTIONS	ДЕЙСТВИЯ
$Activate	Взаимодействие
$ACTIVATE	Взаимодействие
$ActivationBlockedByServerToggle	Этот предмет сейчас нельзя использовать.
$ACTIVE	АКТИВНО
$ACTIVE_ATHENA	АКТИВНЫЙ МИР
$ACTIVE EFFECTS	ЭФФЕКТЫ
$ACTIVE PERKS	АКТИВНЫЕ СПОСОБНОСТИ
$ACTIVEOFFERS	АКТИВНЫЕ ПРЕДЛОЖЕНИЯ
$Actor Fade	Дист. отрисовки персонажей
$ADD	ДОБАВИТЬ
$Added	Добавлено: {1}
$AddFriend	Добавить друга
$ADDFRIEND	ДОБАВИТЬ ДРУГА
$ADDITEM	ДОБАВИТЬ ПРЕДМЕТ
$ADDTAG	ДОБАВИТЬ МЕТКУ
$AddTag	Добавить метку
$ADDPHOTO	ДОБАВИТЬ СНИМОК
$ADJUST	ИЗМЕНИТЬ
$AdvancedModDescriptions	Продвинутые описания модификаций
$AdvancedModDescriptions_Desc	При выборе модификаций для оружия и брони показывать подробную информацию об изменениях в числовых значениях характеристик.
$ADVENTUREMODE	РЕЖИМ ПРИКЛЮЧЕНИЯ
$ADVENTUREMODECAPS	КРЫШКИ РЕЖИМА ПРИКЛЮЧЕНИЯ
$ADVENTUREMODEXP	ОПЫТ РЕЖИМА ПРИКЛЮЧЕНИЯ
$AGILITY	ЛОВКОСТЬ
$AIKILLS	УБИЙСТВА ИИ
$AimAssist	Помощь в прицеливании
$All	Все
$ALL	ВСЕ
$All damage is ignored	Весь урон игнорируется
$ALLCORPSES	ВСЕ БЛИЖАЙШИЕ ТЕЛА
$Allies	Союзники
$ALLPERKS	ВСЕ СПОСОБН.
$ALLY	СНАРЯЖЕНИЕ
$AltFastTravelCancel	Отмена уведомлений одним нажатием
$AltFastTravelCancelDesc	Закрывайте всплывающие уведомления одним нажатием кнопки.
$Antialiasing	Сглаживание
$AP	ОД
$APCost	Расход ОД
$ApplicationSuspended	Приложение приостановлено.
$APPLY	ПРИМЕНИТЬ
$APPLY_ALL	ПРИМЕНИТЬ ВСЕ
$Area	Область
$AREA_CHAT_SUFFIX	{1} (ОБЛАСТЬ)
$Armor	Броня
$ASK	СПРОСИТЬ
$Assign	НАЗНАЧИТЬ
$ASSIGN FAVORITE	НАЗНАЧИТЬ ИЗБРАННОЕ
$ASSIGNED TO	НАЗНАЧЕНИЕ:
$ATHENA_IMAGE	ВЫБОР ИЗОБРАЖЕНИЯ МИРА
$Athena_Image_Tooltip	Выберите изображение для предпросмотра мира
$ATHENA_JOIN_MODE_FRIENDS_ONLY	РЕЖИМ ВХОДА: ТОЛЬКО ДРУЗЬЯ
$ATHENA_JOIN_MODE_OPEN	РЕЖИМ ВХОДА: ОТКРЫТЫЙ
$ATHENA_JOIN_MODE_TEAM_ONLY	РЕЖИМ ВХОДА: ТОЛЬКО КОМАНДА
$ATHENA_MAX_PLAYERS_8	НЕ БОЛЕЕ 8 ИГРОКОВ
$ATHENA_MAX_PLAYERS_24	НЕ БОЛЕЕ 24 ИГРОКОВ
$ATHENA_DOES_NOT_SHARE_PROGRESSION	РАЗДЕЛЬНЫЙ ПРОГРЕСС С РЕЖИМОМ ПРИКЛЮЧЕНИЯ
